rule,phrase
1,library
1,loan items / loan item / item / items
1,customers / customer
1,member
1,membership card
1,member number / membership number
1,details
1,name
1,address
1,date of birth
1,subject sections / section
1,classification mark
1,bar code
1,language tapes / language tape
1,books / book
1,title language
1,level
1,title
1,author(s)
1,current loan
1,bar code reader
1,membership
1,book bar code
1,records
2,number of subject sections
2,types of loan items
2,number of items
2,update of records
3,issues / issued
3,shows
3,kept
3,denoted
3,borrow / borrowed
3,reserved
3,renewed
3,extend
3,scanned
3,entered
3,read
3,stamped
3,searched
3,identified
4,French
4,beginner
4,daily
4,valid
5,two
5,maximum of 8
5,less than 8
5,a number of
6,has a title language
6,has a title and author(s)
7,made up of
9,customer is known as a member
9,language tapes and books are two types of loan items
