rule,phrase
1,NTSS
1,service provider
1,business customers
3,create / creates
3,promote / promoting
3,organize / organizing
3,run / running / runs
4,national
4,international
1,trade shows / trade show
3,contact
1,services
7,involves
1,design
7,including
1,theme
1,slogan
1,location
1,duration
1,advertisement
1,creation
1,promotion
3,inviting
1,speakers
3,register / registering
1,participants
1,exhibitors
1,registration
3,setting up
1,booths
1,conference rooms
1,seminars
1,reception
3,distributing
1,trade show materials
1,account
5,each
1,customer
3,record
1,service charges
1,payments received
1,account balances
9,can be regarded as
1,event
6,has
1,organizer
1,person
1,organization
1,contact information
1,website
3,belong to
5,one or more
1,domains
3,added
3,removed
3,attended by
2,types of
1,organization staff
4,invited and/or selected
1,observers
1,fee
3,prepares
4,invited
3,give
1,keynote address
4,selected
1,evaluation
1,proposals / proposal
3,reviewed by
1,committee
1,reviewers
1,status
4,pending
1,review
4,accepted
4,rejected
3,exhibit
1,products
3,pay
2,size of the booth
4,large
4,medium
4,small
3,requested
3,rented
2,duration of the event
3,visit
