label,element,arg1,arg2
C,NTSS,,
C,Service Provider,,
C,Business Customer,,
C,Trade Show,,
C,Event,,
C,Organizer,,
C,Person,,
C,Organization,,
C,Domain,,
C,Staff,,
C,Observer,,
C,Speaker,,
C,Participant,,
C,Exhibitor,,
C,Committee,,
C,Reviewer,,
C,Proposal,,
C,Booth,,
C,Conference Room,,
C,Seminar,,
C,Reception,,
C,Trade Show Material,,
C,Account,,
A,service charges,Account,
A,payments received,Account,
A,account balances,Account,
A,theme,Trade Show,
A,slogan,Trade Show,
A,location,Trade Show,
A,duration,Trade Show,
A,contact information,Organizer,
A,website,Organizer,
A,fee,Trade Show,
A,status,Proposal,
A,size,Booth,
A,large,size,
A,medium,size,
A,small,size,
A,duration,Event,
AS,create,Service Provider,Trade Show
AS,promote,Service Provider,Trade Show
AS,organize,Service Provider,Trade Show
AS,run,Service Provider,Trade Show
AS,contact,Service Provider,Business Customer
AS,design,Service Provider,Trade Show
AS,promoting,Service Provider,Trade Show
AS,advertisement,Service Provider,Trade Show
AS,organizing,Service Provider,Trade Show
AS,creation,Service Provider,Trade Show
AS,inviting,Service Provider,Speaker
AS,registering,Service Provider,Participant
AS,registering,Service Provider,Exhibitor
AS,registration,Service Provider,Participant
AS,setting up,Service Provider,Booth
AS,setting up,Service Provider,Conference Room
AS,setting up,Service Provider,Seminar
AS,setting up,Service Provider,Reception
AS,distributing,Service Provider,Trade Show Material
AS,creates,Service Provider,Account
AS,record,Service Provider,Account
AS,attended by,Trade Show,Staff
AS,attended by,Trade Show,Observer
AS,attended by,Trade Show,Speaker
AS,attended by,Trade Show,Participant
AS,attended by,Trade Show,Exhibitor
AS,register,Participant,Trade Show
AS,register,Exhibitor,Trade Show
AS,pay,Exhibitor,Trade Show
AS,prepares,Organizer,Trade Show
AS,runs,Organizer,Trade Show
AS,invites,Organizer,Speaker
AS,give,Speaker,Keynote Address
AS,selected,Committee,Speaker
AS,evaluation,Committee,Proposal
AS,reviewed by,Reviewer,Proposal
AS,exhibit,Exhibitor,Product
AS,pay,Exhibitor,Booth
AS,requested,Exhibitor,Booth
AS,rented,Exhibitor,Booth
AS,visit,Participant,Trade Show
AC,Registration,Participant,Trade Show
AC,Exhibit,Exhibitor,Booth
AC,Proposal,Speaker,Trade Show
AC,Review,Reviewer,Proposal
AG,Part-of,Service Provider,NTSS
AG,Part-of,Business Customer,NTSS
AG,Part-of,Organizer,Trade Show
AG,Part-of,Domain,Organization
AG,Part-of,Staff,Organization
AG,Part-of,Booth,Trade Show
AG,Part-of,Conference Room,Trade Show
AG,Part-of,Seminar,Trade Show
AG,Part-of,Reception,Trade Show
AG,Part-of,Account,Business Customer
I,ISA,Organizer,Person
I,ISA,Organizer,Organization
I,ISA,Staff,Person
I,ISA,Observer,Person
I,ISA,Speaker,Person
I,ISA,Participant,Person
I,ISA,Participant,Organization
I,ISA,Exhibitor,Person
I,ISA,Exhibitor,Organization
I,ISA,Committee,Person
I,ISA,Reviewer,Person
I,ISA,Trade Show,Event
