label,element,arg1,arg2
C,library,,
C,loan item,,
C,customer,,
C,member,,
C,membership card,,
C,member number,,
C,subject section,,
C,classification mark,,
C,bar code,,
C,language tape,,
C,book,,
C,title,,
C,author,,
C,current loan,,
C,bar code reader,,
C,membership,,
C,record,,
C,issue,,
C,type of loan item,,
C,number of items,,
C,update of record,,
A,details,customer,
A,name,customer,
A,address,customer,
A,date of birth,customer,
A,member number,member,
A,membership card,member,
A,classification mark,subject section,
A,bar code,loan item,
A,title,loan item,
A,language,loan item,
A,level,language tape,
A,title,book,
A,author,book,
A,book bar code,book,
A,number of subject sections,library,
A,number of items,customer,
A,valid,membership,
A,maximum of 8,loan item,
V,book,type of loan item,
V,language tape,type of loan item,
V,French,language,
V,beginner,level,
V,daily,loan item,
V,two,type of loan item,
AS,shows,bar code reader,bar code,
AS,borrow,customer,loan item,
AS,reserved,customer,loan item,
AS,renewed,customer,loan item,
AS,extend,customer,loan item,
AS,scanned,bar code reader,loan item,
AS,entered,bar code reader,loan item,
AS,read,bar code reader,bar code,
AS,stamped,bar code reader,loan item,
AS,searched,library,record,
AS,identified,bar code reader,loan item,
AS,kept,library,record,
AS,denoted,classification mark,subject section,
AS,has a title language,loan item,language,
AS,has a title and author(s),book,title,
AS,made up of,library,subject section,
AS,update of records,library,record,
AS,issues,library,loan item,
AS,borrow,member,loan item,
AC,current loan,customer,loan item,
AG,Part-of,subject section,library,
I,ISA,customer,member,
I,ISA,book,loan item,
I,ISA,language tape,loan item
