label,element,arg1,arg2
C,vehicle,,
C,manufacturer,,
C,price class,,
C,rental plan,,
C,customer,,
C,reservation,,
C,salesperson,,
C,contract,,
C,invoice,,
C,company,,
C,credit card processing company,,
C,rental,,
C,car,,
C,model of car,,
C,makes of car,,
C,transmission,,
C,options,,
C,location,,
C,credit card,,
C,file cabinet,,
C,reservation form,,
A,price,vehicle,
A,rental price,price class,
A,status,vehicle,
A,depreciation,car,
A,number of doors,car,
A,type,car,
A,time of reservation,reservation,
A,period of time,reservation,
A,method,reservation,
A,status,reservation,
A,rental charge,invoice,
A,rental charge,rental,
V,available,status,
V,not available,status,
V,rented out,status,
V,automatic,transmission,
V,manual,transmission,
V,two,number of doors,
V,four,number of doors,
V,sedan,type,
V,hatchback,type,
V,daily unlimited miles plan,rental plan,
V,weekend savings plan,rental plan,
V,in person,method,
V,by phone,method,
V,voided,status,
V,opened,status,
V,cover,status,
AS,manufacture,manufacturer,car,
AS,has price class,vehicle,price class,
AS,select,customer,rental plan,
AS,reserve,customer,reservation,
AS,process,salesperson,reservation,
AS,archive,reservation,file cabinet,
AS,sign,customer,contract,
AS,block reservation,contract,reservation,
AS,make,invoice,rental,
AS,cover,contract,rental,
AS,check out,customer,vehicle,
AS,pay,customer,invoice,
AS,send to,invoice,company,
AS,process,credit card processing company,credit card,
AS,rent,customer,vehicle,
AG,Part-of,model of car,makes of car,
AG,Part-of,transmission,car,
AG,Part-of,options,car,
AG,Part-of,rental,contract,
AG,Part-of,reservation form,reservation,
AG,Part-of,car,vehicle,
I,ISA,car,vehicle,
I,ISA,passenger car,car,
I,ISA,sedan,car,
I,ISA,hatchback,car,
I,ISA,other forms of vehicle,vehicle
