label,element,arg1,arg2
C,ntss,,
C,service provider,,
C,business customer,,
C,trade show,,
C,organizer,,
C,person,,
C,organization,,
C,domain,,
C,organization staff,,
C,observer,,
C,keynote speaker,,
C,proposal,,
C,reviewer,,
C,committee,,
C,exhibitor,,
C,product,,
C,booth,,
C,conference room,,
C,seminar,,
C,trade show material,,
C,account,,
C,event,,
C,registration,,
C,service charge,,
C,payment,,
A,account balance,account,
A,service charges,account,
A,payments received,account,
A,theme,trade show,
A,slogan,trade show,
A,location,trade show,
A,duration,trade show,
A,contact information,organizer,
A,website,organizer,
A,fee,registration,
A,size,booth,
A,status,proposal,
A,duration,event,
V,large,size,
V,medium,size,
V,small,size,
V,pending,status,
V,review,status,
V,accepted,status,
V,rejected,status,
AS,create,ntss,trade show,
AS,promote,ntss,trade show,
AS,organize,ntss,trade show,
AS,run,ntss,trade show,
AS,contact,service provider,business customer,
AS,involves,service provider,service,
AS,design,service provider,trade show,
AS,promote,service provider,trade show,
AS,organize,service provider,trade show,
AS,create,service provider,advertisement,
AS,invite,service provider,speaker,
AS,register,service provider,participant,
AS,register,service provider,exhibitor,
AS,set up,service provider,booth,
AS,set up,service provider,conference room,
AS,set up,service provider,seminar,
AS,set up,service provider,reception,
AS,distribute,service provider,trade show material,
AS,create,service provider,account,
AS,record,service provider,service charge,
AS,record,service provider,payment,
AS,regard,trade show,event,
AS,has,event,organizer,
AS,belong to,organizer,domain,
AS,add,organizer,domain,
AS,remove,organizer,domain,
AS,attend,organization staff,trade show,
AS,attend,observer,trade show,
AS,register,organization staff,trade show,
AS,register,observer,trade show,
AS,prepare,service provider,trade show,
AS,run,service provider,trade show,
AS,invite,service provider,keynote speaker,
AS,give,keynote speaker,keynote address,
AS,select,service provider,observer,
AS,evaluate,service provider,proposal,
AS,review,reviewer,proposal,
AS,review,committee,proposal,
AS,exhibit,exhibitor,product,
AS,pay,exhibitor,fee,
AS,request,exhibitor,booth,
AS,rent,exhibitor,booth,
AS,visit,business customer,trade show,
AC,registration,business customer,trade show,
AC,account,service provider,business customer,
I,ISA,person,organizer,
I,ISA,organization,organizer,
I,ISA,trade show,event,
AG,Part-of,booth,trade show,
AG,Part-of,conference room,trade show,
AG,Part-of,seminar,trade show,
AG,Part-of,reception,trade show,
AG,Part-of,trade show material,trade show,
AG,Part-of,keynote address,trade show,
AG,Part-of,domain,organizer
