label,element,arg1,arg2
C,library
C,loan item
C,customer
C,member
C,membership card
C,subject section
C,bar code
C,language tape
C,book
C,author
C,current loan
C,bar code reader
C,membership
C,record
C,update of records
C,issue
A,member number,member
A,name,customer
A,address,customer
A,date of birth,customer
A,classification mark,subject section
A,number of subject sections,library
A,types of loan items,library
A,number of items,library
A,title language,loan item
A,level,language tape
A,title,loan item
A,author(s),loan item
A,book bar code,book
V,French,title language
V,beginner,level
V,daily,level
V,valid,membership
V,two,types of loan items
V,maximum of 8,number of items
V,less than 8,number of items
V,a number of,number of items
AS,borrow,member,loan item
AS,reserved,member,loan item
AS,renewed,member,loan item
AS,extend,member,loan item
AS,scanned,bar code reader,bar code
AS,entered,bar code reader,bar code
AS,read,bar code reader,bar code
AS,stamped,issue,loan item
AS,searched,library,record
AS,identified,bar code,loan item
AS,shows,membership card,member number
AS,kept,library,record
AS,denoted,classification mark,subject section
AS,made up of,library,subject section
I,member,customer
I,language tape,loan item
I,book,loan item
AG,loan item,library
AG,membership card,member
AG,bar code,loan item
AG,author,book
AG,current loan,member
AG,book bar code,book
AG,record,library
AG,update of records,library
AG,issue,library
AG,subject section,library
