label,element,arg1,arg2
C,vehicle
C,manufacturer
C,price class
C,rental price
C,customer
C,rental plan
C,daily unlimited miles plan
C,weekend savings plan
C,reservation
C,salesperson
C,reservation form
C,file cabinet
C,contract
C,block reservation
C,invoice
C,company
C,rental charge
C,credit card
C,credit card processing company
C,rental
A,price class,vehicle
A,rental price,vehicle
A,make,vehicle
A,transmission,vehicle
A,number of doors,vehicle
A,depreciation of the rental cars,vehicle
A,type,vehicle
A,time of reservation,reservation
A,period of time,reservation
A,status,reservation
A,voided,reservation
A,rental charge,invoice
A,rental charge,rental
A,additional charge,options
V,automatic,transmission
V,manual,transmission
V,two,number of doors
V,four,number of doors
V,sedan,type
V,hatchback,type
V,available,status
V,not available,status
V,rented out,status
V,in person,means
V,by phone,means
V,opened,status
V,one or more,rentals
AS,manufacture,manufacturer,vehicle
AS,select,customer,rental plan
AS,reserve,customer,reservation
AS,process,salesperson,reservation
AS,archive,reservation form,file cabinet
AS,sign,customer,contract
AS,make,block reservation,vehicle
AS,open,invoice,customer
AS,cover,invoice,rental
AS,check out,customer,vehicle
AS,pay,customer,rental charge
AS,send,invoice,company
AS,process,credit card processing company,credit card
AS,rent,customer,vehicle
ISA,car,vehicle
ISA,passenger car,car
ISA,daily unlimited miles plan,rental plan
ISA,weekend savings plan,rental plan
ISA,options,vehicle
AG,vehicle,fleet
AG,reservation form,file cabinet
AG,contract,block reservation
AG,rental,invoice
