label,element,arg1,arg2
C,service provider,
C,business customer,
C,trade show,
C,event,
C,person,
C,organization,
C,domain,
C,organizer,
C,staff,
C,observer,
C,participant,
C,exhibitor,
C,speaker,
C,proposal,
C,committee,
C,reviewer,
C,product,
C,booth,
C,conference room,
C,seminar,
C,trade show material,
C,registration,
C,review,
C,keynote address,
C,account,
A,theme,trade show,
A,slogan,trade show,
A,location,trade show,
A,duration,trade show,
A,contact information,organizer,
A,website,organizer,
A,fee,registration,
A,size,booth,
A,status,proposal,
A,evaluation,proposal,
A,service charges,account,
A,payments received,account,
A,account balances,account,
V,large,size,
V,medium,size,
V,small,size,
V,pending,status,
V,review,status,
V,accepted,status,
V,rejected,status,
AS,create,service provider,trade show,
AS,promote,service provider,trade show,
AS,organize,service provider,trade show,
AS,run,service provider,trade show,
AS,contact,service provider,business customer,
AS,create,service provider,account,
AS,record,service provider,service charges,
AS,record,service provider,payments received,
AS,record,service provider,account balances,
AS,regard as,trade show,event,
AS,has,event,organizer,
AS,belong to,trade show,domain,
AS,add,trade show,domain,
AS,remove,trade show,domain,
AS,attend,participant,trade show,
AS,attend,exhibitor,trade show,
AS,attend,observer,trade show,
AS,register,participant,trade show,
AS,register,exhibitor,trade show,
AS,prepare,organizer,trade show,
AS,run,organizer,trade show,
AS,invite,speaker,trade show,
AS,give,speaker,keynote address,
AS,select,speaker,trade show,
AS,submit,exhibitor,proposal,
AS,evaluate,committee,proposal,
AS,review,reviewer,proposal,
AS,exhibit,exhibitor,product,
AS,pay,exhibitor,fee,
AS,request,exhibitor,booth,
AS,rent,exhibitor,booth,
AS,setup,exhibitor,booth,
AS,setup,organizer,conference room,
AS,setup,organizer,seminar,
AS,reception,organizer,participant,
AS,distribute,organizer,trade show material,
AS,visit,business customer,trade show,
AG,Part-of,staff,organizer,
AG,Part-of,booth,trade show,
AG,Part-of,conference room,trade show,
AG,Part-of,seminar,trade show,
AG,Part-of,keynote address,trade show,
AG,Part-of,registration,trade show,
AG,Part-of,review,trade show,
AG,Part-of,proposal,trade show,
AG,Part-of,reviewer,committee,
AG,Part-of,product,exhibitor,
AG,Part-of,trade show material,trade show,
AG,Part-of,organizer,service provider,
AG,Part-of,account,business customer,
AG,Part-of,person,organizer,
AG,Part-of,organization,organizer,
I,ISA,trade show,event,
I,ISA,person,organizer,
I,ISA,organization,organizer,
I,ISA,staff,participant,
I,ISA,staff,exhibitor,
I,ISA,staff,observer,
I,ISA,invited speaker,speaker,
I,ISA,selected speaker,speaker,
