label,element,arg1,arg2
C,service provider,
C,business customer,
C,trade show,
C,event,
C,organizer,
C,person,
C,organization,
C,domain,
C,exhibit,
C,product,
C,booth,
C,proposal,
C,committee,
C,reviewer,
C,keynote address,
C,seminar,
C,conference room,
C,trade show material,
C,registration,
C,account,
C,staff,
C,observer,
C,participant,
C,exhibitor,
C,speaker,
A,theme,trade show,
A,slogan,trade show,
A,location,trade show,
A,duration,trade show,
A,contact information,organizer,
A,website,organizer,
A,service charges,account,
A,payments received,account,
A,account balances,account,
A,size,booth,
A,status,proposal,
A,fee,registration,
A,type,staff,
V,large,size,
V,medium,size,
V,small,size,
V,pending,status,
V,accepted,status,
V,rejected,status,
AS,create,service provider,trade show,
AS,promote,service provider,trade show,
AS,organize,service provider,trade show,
AS,run,service provider,trade show,
AS,contact,service provider,business customer,
AS,involves,trade show,design,
AS,design,service provider,trade show,
AS,promote,service provider,trade show,
AS,advertisement,service provider,trade show,
AS,organize,service provider,trade show,
AS,creation,service provider,trade show,
AS,promotion,service provider,trade show,
AS,invite,speaker,trade show,
AS,register,participant,trade show,
AS,register,exhibitor,trade show,
AS,run,service provider,trade show,
AS,registration,service provider,participant,
AS,setup,service provider,booth,
AS,setup,service provider,conference room,
AS,setup,service provider,seminar,
AS,reception,service provider,trade show,
AS,distribute,service provider,trade show material,
AS,create,service provider,account,
AS,record,service provider,service charges,
AS,record,service provider,payments received,
AS,record,service provider,account balances,
AS,regard,trade show,event,
AS,organize,organizer,trade show,
AS,belong to,trade show,domain,
AS,add,domain,trade show,
AS,remove,domain,trade show,
AS,attend,staff,trade show,
AS,invite,observer,trade show,
AS,select,observer,trade show,
AS,register,participant,trade show,
AS,register,exhibitor,trade show,
AS,prepare,service provider,trade show,
AS,run,service provider,trade show,
AS,invite,speaker,trade show,
AS,give,speaker,keynote address,
AS,select,speaker,trade show,
AS,evaluate,committee,proposal,
AS,review,reviewer,proposal,
AS,exhibit,exhibitor,product,
AS,pay,exhibitor,booth,
AS,request,exhibitor,booth,
AS,rent,exhibitor,booth,
AS,visit,participant,trade show,
AS,comprise,committee,reviewer,
AC,registration,participant,trade show,
AC,review,reviewer,proposal,
AG,staff,organization,
AG,reviewer,committee,
I,person,organizer,
I,organization,organizer,
I,trade show,event,
