label,element,arg1,arg2
C,trade show,
C,service provider,
C,business customer,
C,event,
C,organizer,
C,person,
C,organization,
C,domain,
C,account,
C,participant,
C,exhibitor,
C,speaker,
C,proposal,
C,committee,
C,reviewer,
C,product,
C,booth,
C,conference room,
C,seminar,
C,trade show material,
C,registration,
C,review,
C,keynote address,
C,observer,
C,staff,
A,theme,trade show,
A,slogan,trade show,
A,location,trade show,
A,duration,trade show,
A,contact information,organizer,
A,website,organizer,
A,service charges,account,
A,payments received,account,
A,account balances,account,
A,fee,registration,
A,size,booth,
A,status,proposal,
A,evaluation,proposal,
A,keynote address,keynote address,
A,size,booth,
A,duration,trade show,
V,large,size,
V,medium,size,
V,small,size,
V,pending,status,
V,accepted,status,
V,rejected,status,
AS,create,service provider,trade show,
AS,promote,service provider,trade show,
AS,organize,service provider,trade show,
AS,run,service provider,trade show,
AS,contact,service provider,business customer,
AS,create,service provider,account,
AS,record,service provider,account,
AS,regard,trade show,event,
AS,belong to,trade show,domain,
AS,add,domain,trade show,
AS,remove,domain,trade show,
AS,attend,participant,trade show,
AS,attend,exhibitor,trade show,
AS,attend,observer,trade show,
AS,attend,staff,trade show,
AS,register,participant,trade show,
AS,register,exhibitor,trade show,
AS,invite,speaker,trade show,
AS,invite,participant,trade show,
AS,invite,exhibitor,trade show,
AS,prepare,organizer,trade show,
AS,give,speaker,keynote address,
AS,select,speaker,trade show,
AS,submit,exhibitor,proposal,
AS,review,committee,proposal,
AS,review,reviewer,proposal,
AS,exhibit,exhibitor,product,
AS,request,exhibitor,booth,
AS,rent,exhibitor,booth,
AS,visit,business customer,trade show,
AS,setup,staff,booth,
AS,setup,staff,conference room,
AS,setup,staff,seminar,
AS,receive,participant,trade show material,
AS,receive,exhibitor,trade show material,
AS,create,organizer,trade show material,
AS,distribute,organizer,trade show material,
AS,organize,organizer,registration,
AS,organize,organizer,seminar,
AS,organize,organizer,conference room,
AS,setup-with,organizer,booth,
AS,belong to,staff,organizer,
AS,comprise,organizer,staff,
AS,comprise,committee,reviewer,
AC,registration,participant,trade show,
AC,review,committee,proposal,
AC,review,reviewer,proposal,
AG,Part-of,booth,trade show,
AG,Part-of,conference room,trade show,
AG,Part-of,seminar,trade show,
AG,Part-of,trade show material,trade show,
AG,Part-of,registration,trade show,
AG,Part-of,proposal,trade show,
AG,Part-of,review,trade show,
AG,Part-of,keynote address,trade show,
AG,Part-of,participant,trade show,
AG,Part-of,exhibitor,trade show,
AG,Part-of,observer,trade show,
AG,Part-of,speaker,trade show,
AG,Part-of,staff,organizer,
AG,Part-of,reviewer,committee,
AG,Part-of,organizer,trade show,
I,ISA,person,organizer,
I,ISA,organization,organizer,
I,ISA,person,participant,
I,ISA,organization,participant,
I,ISA,person,exhibitor,
I,ISA,organization,exhibitor,
I,ISA,person,speaker,
I,ISA,person,observer,
I,ISA,person,staff,
I,ISA,person,reviewer,
I,ISA,organization,committee,
I,ISA,trade show,event
