label,element,arg1,arg2
C,vehicle
C,manufacturer
C,price class
C,rental price
C,customer
C,rental plan
C,reservation
C,rental
C,contract
C,invoice
C,company
C,credit card processing company
C,salesperson
C,reservation form
C,file cabinet
C,passenger car
C,car
C,model of car
C,transmission
C,sedan
C,hatchback
C,location
C,block reservation
C,options
A,available,vehicle
A,not available,vehicle
A,rented out,vehicle
A,price class,vehicle
A,rental price,vehicle
A,manufacturer,vehicle
A,number of doors,passenger car
A,transmission,passenger car
A,model of car,passenger car
A,model of car,car
A,make,passenger car
A,model,passenger car
A,price class,rental plan
A,price,rental plan
A,additional charge,options
A,time of reservation,reservation
A,period of time,reservation
A,voided,reservation
A,rental charge,invoice
A,opened,invoice
A,one or more,invoice
A,depreciation of the rental cars,vehicle
A,make,vehicle
A,model,vehicle
A,transmission,vehicle
A,body style,vehicle
A,rental price,rental plan
A,period of time,rental plan
A,rental charge,rental
A,checked out,rental
A,credit card,rental
V,automatic,transmission
V,manual,transmission
V,two,number of doors
V,four,number of doors
V,sedan,body style
V,hatchback,body style
V,daily unlimited miles plan,rental plan
V,weekend savings plan,rental plan
V,in person,reservation
V,by phone,reservation
V,credit card,payment method
AS,manufacture,manufacturer,vehicle
AS,select,customer,rental plan
AS,reserve,customer,reservation
AS,process,salesperson,reservation
AS,archive,reservation,reservation form
AS,sign,customer,contract
AS,block reservation,block reservation,reservation
AS,make,customer,invoice
AS,cover,contract,rental
AS,open,company,invoice
AS,check out,customer,vehicle
AS,pay,customer,invoice
AS,send to,invoice,company
AS,process,credit card processing company,credit card
AS,rent,customer,vehicle
AS,return to,customer,location
AS,take from,customer,location
I,car,vehicle
I,passenger car,car
I,sedan,passenger car
I,hatchback,passenger car
I,daily unlimited miles plan,rental plan
I,weekend savings plan,rental plan
I,contract,reservation
I,block reservation,reservation
AG,rental,invoice
AG,reservation,block reservation
AG,reservation form,file cabinet
AG,passenger car,vehicle
AG,car,vehicle
AG,sedan,passenger car
AG,hatchback,passenger car
AG,model of car,vehicle
AG,transmission,vehicle
AG,options,vehicle
AG,location,vehicle
