rule,phrase
1,rental location
1,vehicle
1,passenger car
1,make
1,model
1,price class
1,rental fleet
1,rental plan
1,reservation
1,reservation form
1,salesperson
1,file cabinet
1,deposit
1,contract
1,block reservation
1,invoice
1,rental
1,credit card
1,credit card processing company
1,rental charge
1,preventive maintenance
1,damage
1,repair
1,purchase
1,disposal
1,depreciation
1,customer
1,manufacturer
1,gear change
1,doors
1,additional charge
2,number of rental locations
2,forms of vehicle rentals
2,makes of cars
2,models of car
2,number of different rental plans
2,period of time
2,models of a different make
3,taken from
3,returned to
3,branch out into
3,select
3,rented out
3,suggest
3,make reservations
3,process
3,archive
3,voided
3,show up
3,sign
3,honored
3,checked out
3,opened
3,settle
3,sent to
3,pays
3,processed
3,repaired
3,keep track of
4,daily
4,automatic
4,manual
4,two doors
4,four doors
4,sedan
4,hatchback
4,available
4,rented out
4,unlimited miles
4,weekend
5,10% discount
5,several
5,one or more
6,vehicle has additional charge
6,make has several models
6,model has price class
6,car has automatic or manual gear change
6,car has two or four doors
6,car has sedan or hatchback
6,invoice has one or more rentals
6,customer has invoice
9,passenger car is a kind of vehicle
