I'll systematically read the business description and extract every domain-specific phrase by category.

---

## Rule 1 — Nouns / Noun Phrases

| # | Phrase |
|---|--------|
| 1 | library |
| 2 | loan item |
| 3 | customer |
| 4 | member |
| 5 | membership card |
| 6 | member number |
| 7 | membership number |
| 8 | name |
| 9 | address |
| 10 | date of birth |
| 11 | subject section |
| 12 | classification mark |
| 13 | bar code |
| 14 | language tape |
| 15 | title language |
| 16 | level |
| 17 | book |
| 18 | title |
| 19 | author |
| 20 | loan |
| 21 | current loan |
| 22 | membership |
| 23 | bar code reader |
| 24 | book bar code |
| 25 | details |
| 26 | records |
| 27 | daily update |

---

## Rule 2 — "X of Y" Expressions

| # | Phrase |
|---|--------|
| 1 | date of birth |
| 2 | number of subject sections |
| 3 | number of items on loan |
| 4 | types of loan items |
| 5 | update of records |

---

## Rule 3 — Transitive Verbs

| # | Phrase |
|---|--------|
| 1 | issue |
| 2 | borrow |
| 3 | reserve |
| 4 | renew |
| 5 | extend |
| 6 | scan |
| 7 | enter |
| 8 | stamp |
| 9 | search |
| 10 | keep |
| 11 | show |
| 12 | identify |
| 13 | denote |
| 14 | read |

---

## Rule 4 — Adjectives / Enumerations / States

| # | Phrase |
|---|--------|
| 1 | language tape *(type of loan item)* |
| 2 | book *(type of loan item)* |
| 3 | borrowed |
| 4 | reserved |
| 5 | renewed |
| 6 | valid |
| 7 | daily |
| 8 | French *(example language value)* |
| 9 | beginner *(example level value)* |
| 10 | manually *(entry method)* |

---

## Rule 5 — Numeric / Quantity Expressions

| # | Phrase |
|---|--------|
| 1 | up to a maximum of 8 |
| 2 | maximum of 8 |
| 3 | less than 8 |
| 4 | a number of |
| 5 | each |

---

## Rule 6 — Possession Expressions

| # | Phrase |
|---|--------|
| 1 | membership card has member number |
| 2 | language tape has title language |
| 3 | language tape has level |
| 4 | book has title |
| 5 | book has author(s) |

---

## Rule 7 — "Consist of / Part of" Expressions

| # | Phrase |
|---|--------|
| 1 | made up of |

---

## Rule 8 — Containment Expressions

*(None found in the text.)*

---

## Rule 9 — "X is a Y" Generalizations

| # | Phrase |
|---|--------|
| 1 | customer is known as a member |
| 2 | language tapes and books are two types of loan items |
