rule,phrase
1,service provider
1,business customer
1,trade show
3,create
3,promote
3,organize
3,run
7,involves
1,design
1,professional services
2,selection of a theme
2,selection of a slogan
1,location
1,duration
1,advertisement activities
1,speaker
3,register
1,participant
1,exhibitor
3,on site registration
3,setting up
1,booth
1,conference room
1,seminar
1,reception
1,trade show materials
3,record
1,account
1,service charge
1,payment
1,account balance
9,trade show can be regarded as an event
1,event
1,convention center
1,organizer
1,person
1,organization
6,has
1,contact information
1,website
1,domain
5,one or more
4,predefined
3,change
3,added
3,removed
2,types of participants
1,event organization staff
1,speaker
1,observer
3,register
1,fee
1,NTSS staff
3,prepare
1,keynote address
1,proposal
3,evaluation
3,reviewed by
1,committee
1,reviewer
1,expert
1,status
4,pending
4,accepted
4,rejected
3,exhibit
1,product
1,service
2,size of the booth
4,large
4,medium
4,small
3,requested
3,rented
