label,element,arg1,arg2
C,vehicle,,
C,car,,
C,passenger car,,
C,customer,,
C,rental plan,,
C,reservation,,
C,salesperson,,
C,reservation form,,
C,contract,,
C,invoice,,
C,company,,
C,credit card processing company,,
A,manufacturer,vehicle,
A,price class,vehicle,
A,rental price,vehicle,
A,status,vehicle,
A,make,car,
A,model,car,
A,transmission,car,
A,door count,car,
A,body style,car,
A,option,car,
A,additional charge,option,
A,depreciation,vehicle,
A,location,vehicle,
A,time of reservation,reservation,
A,period of time,reservation,
A,reservation method,reservation,
A,rental charge,invoice,
A,credit card,invoice,
V,available,status,
V,not available,status,
V,rented out,status,
V,purchase,status,
V,repair,status,
V,maintenance,status,
V,disposal,status,
V,automatic,transmission,
V,manual,transmission,
V,two,door count,
V,four,door count,
V,sedan,body style,
V,hatchback,body style,
V,daily unlimited miles plan,rental plan,
V,weekend savings plan,rental plan,
V,voided,reservation,
I,car,vehicle,
I,passenger car,car,
AS,select,customer,rental plan,
AS,reserving,customer,reservation,
AS,process,salesperson,reservation,
AS,archive,salesperson,reservation form,
AS,sign,customer,contract,
AS,make,salesperson,invoice,
AS,cover,invoice,reservation,
AS,pay,customer,invoice,
AS,sent to,invoice,company,
AS,processed,invoice,credit card processing company,
AG,Part-of,reservation,reservation form,
AG,Part-of,vehicle,location,
