rule,phrase
1,rental location
1,vehicle
1,passenger car
1,reservation system
1,make
1,model
1,manufacturer
1,price class
1,rental plan
1,gear change
1,door
1,sedan
1,hatchback
1,option
1,customer
1,salesperson
1,reservation form
1,file cabinet
1,deposit
1,contract
1,block reservation
1,invoice
1,rental
1,credit card
1,credit card processing company
1,preventive maintenance
1,damage
1,tax
1,depreciation
2,number of rental locations
2,forms of vehicle rentals
2,number of price classes
2,models of car
2,period of time
3,take
3,return
3,branch out
3,select
3,display
3,suggest
3,reserve
3,process
3,archive
3,void
3,sign
3,honor
3,handle
3,check out
3,open
3,settle
3,keep track of
4,additional
4,available
4,rented out
4,daily
4,unlimited miles
4,weekend
4,10% discount
4,automatic
4,manual
4,two
4,four
4,in person
4,through the phone
4,manually
4,voided
4,purchase
4,repair
4,maintenance
4,disposal
5,several
5,one
5,different
5,small number
5,one or more
6,company has several different makes of cars
6,make may have several models
6,company has a number of different rental plans
7,grouped into
9,is a
