label,element,arg1,arg2
C,library,,
C,loan item,,
C,customer,,
C,member,,
C,membership card,,
C,subject section,,
C,language tape,,
C,book,,
C,bar code reader,,
C,membership,,
A,member number,member,
A,name,member,
A,address,member,
A,date of birth,member,
A,classification mark,subject section,
A,bar code,loan item,
A,title language,loan item,
A,level,loan item,
A,title,loan item,
A,author,loan item,
A,book bar code,book,
V,French,title language,
V,beginner,level,
I,ISA,member,customer
I,ISA,language tape,loan item
I,ISA,book,loan item
AS,borrow,member,loan item
AS,reserve,member,loan item
AS,renew,member,loan item
AS,extend,member,loan item
AC,current loan,member,loan item
AG,Part-of,library,subject section
