label,element,arg1,arg2
C,vehicle,,
A,manufacturer,vehicle,
A,price class,vehicle,
A,rental price,vehicle,
A,available,vehicle,
A,not available,vehicle,
A,rented out,vehicle,
C,car,,
I,ISA,car,vehicle
A,makes of car,car,
A,model of car,car,
A,transmission,car,
V,automatic,transmission,
V,manual,transmission,
A,doors,car,
V,two,doors,
V,four,doors,
V,sedan,car,
V,hatchback,car,
A,options,car,
A,additional charge,options,
A,depreciation of the rental cars,vehicle,
C,location,,
C,customer,,
C,rental plan,,
A,daily unlimited miles plan,rental plan,
A,weekend savings plan,rental plan,
C,reservation,,
A,time of reservation,reservation,
A,period of time,reservation,
V,in person,reservation,
V,by phone,reservation,
A,voided,reservation,
C,salesperson,,
C,reservation form,,
C,contract,,
C,invoice,,
C,company,,
A,rental charge,invoice,
C,credit card,,
C,credit card processing company,,
AS,process,salesperson,reservation
AS,sign,customer,contract
AS,make,salesperson,invoice
AS,cover,invoice,rental,
AS,pay,customer,invoice,
AS,processed,credit card,credit card processing company,
AC,rental,customer,vehicle
